Sample #,d13C ,d18O,d13C SD,d18O SD,Milled?,Date,Year,Boat,Location; Lat/Long,CFL in,CFL,Bin,Dressed Weight (lbs),Round Weight (lbs),Round Weight (kg),Sex,# Otoliths Present,Lf Oto (Y/N),Rt Oto (Y/N),Lf Oto Condition,Rt Oto Condition,Lf Oto Weight (g),Rt Oto Weight (g),Lf Oto Length (cm),Lf Oto Width (cm),Rt Oto Length (cm),Rt Oto Width (cm),Otolith Aged
002-2010,-7.56,-1.15,0.027,0.078,y,7/23/2010,2010,No Excuse,,90,228.6,200-249,305,381.25,172.935,M,2,Y,Y,Broken tip,Broken tip (pieces included),NA,0.1576,NA,0.479,NA,0.456,R
167-2010,-7.22,-0.46,0.01,0.037,y,9/11/2010,2010,,,90,228.6,200-249,286,357.5,162.162,,2,Y,Y,Whole,Whole,0.1287,0.1309,1.8,0.429,1.88,0.44,L
022-2010,-7.17,-1.17,0.027,0.013,y,8/1/2010,2010,Special K,,90,228.6,200-249,298,372.5,168.966,,2,Y,Y,Whole,Whole,0.1435,0.1484,1.64,0.451,1.784,0.467,R
043-2010,-7.1,-0.68,0.058,0.014,y,8/8/2010,2010,Jamie Girl,,90,228.6,200-249,287,358.75,162.729,,2,Y,Y,Whole,Whole,0.2007,0.208,2.085,0.488,2.061,0.522,R
079-2010,-7.9,-1.44,0.008,0.036,y,8/12/2010,2010,Katie Z,,91,231.14,200-249,377,471.25,213.759,,2,Y,Y,Whole,Broken tip (pieces included),0.1575,0.1672,1.699,0.491,NA,0.499,R
032-2010,-7.42,-1.1,0.004,0.019,y,8/4/2010,2010,First Lady,,91,231.14,200-249,285,356.25,161.595,M,2,Y,Y,Broken tip (pieces included),Whole,0.1529,0.152,NA,0.475,1.693,0.461,L
164-2010,-7.34,-1.13,0.011,0.044,y,9/11/2010,2010,,,91,231.14,200-249,317,396.25,179.739,,2,Y,Y,Whole,Whole,0.1531,0.1473,1.687,0.525,1.699,0.507,L
262-2010,-7.23,-0.78,0.019,0.092,y,10/24/2010,2010,Nantucket Fish,,91,231.14,200-249,324,405,183.708,,2,Y,Y,Whole,Whole,0.186,0.1824,1.805,0.528,1.849,0.525,L
074-2010,-7.83,-0.6,0.01,0.017,y,8/14/2010,2010,Black Dog,,93,236.22,200-249,298,372.5,168.966,,2,Y,Y,Whole,Whole,0.1608,0.1643,1.779,0.515,1.813,0.512,L
003-2010,-7.73,-0.71,0.037,0.037,y,7/25/2010,2010,Lucky Suzie,,93,236.22,200-249,320,400,181.44,,2,Y,Y,Whole,Broken tip,0.1973,NA,1.885,0.493,NA,0.483,L
