Sample #,d13C ,d18O,d13C SD,d18O SD,Milled?,Date,Year,Boat,Location; Lat/Long,CFL in,CFL,Bin,Dressed Weight (lbs),Round Weight (lbs),Round Weight (kg),Sex,# Otoliths Present,Lf Oto (Y/N),Rt Oto (Y/N),Lf Oto Condition,Rt Oto Condition,Lf Oto Weight (g),Rt Oto Weight (g),Lf Oto Length (cm),Lf Oto Width (cm),Rt Oto Length (cm),Rt Oto Width (cm),Otolith Aged
272-2011,-7.65,-0.15,0.017,0.009,y,9/11/2011,2011,Tammy Rose,,58,147.32,100-149,,118,53.52,,1,N,Y,NA,Broken tip (piece included),NA,0.0786,NA,NA,NA,0.3907,R
515-2011,-7.86,-0.87,0.042,0.024,y,8/26/2011,2011,Tammy Rose,41 50.500; 069 53.000,59,149.86,100-149,,,,M,2,Y,Y,Broken tip,Whole,NA,0.0788,1.442,0.3773,1.429,0.4041,R
514-2011,-7.78,-0.77,0.012,0.031,y,8/23/2011,2011,Tammy Rose,Crab Ledge,59,149.86,100-149,,,,M,1,Y,N,Broken tip (piece included),NA,0.0601,NA,NA,0.514,NA,NA,L
271-2011,-7.64,-0.48,0.012,0.008,y,9/11/2011,2011,Moonlighter,,59,149.86,100-149,,122.4,55.52,,1,N,Y,NA,Whole,NA,0.0942,NA,NA,1.574,0.3987,R
548-2011,-7.25,-0.76,0.021,0.022,y,10/8/2011,2011,Tammy Rose,41 09.778,59,149.86,100-149,,,,M,2,Y,Y,Broken tip,Whole,NA,0.0712,NA,0.38,1.445,0.3532,L
261-2011,-7.49,-1.03,0.012,0.047,y,8/13/2011,2011,Dave Lenny,,65,165.1,150-199,,,,F,2,Y,Y,Whole,Whole,0.1576,0.156,1.777,0.4656,1.908,0.4683,R
71-2011,-8.24,-1.15,0.03,0.01,y,7/15/2011,2011,Rollsush,,73,185.42,150-199,153,191.25,86.75,M,2,Y,Y,Whole,Broken tip,0.136,NA,1.632,0.4496,1.606,0.471,L
607-2011,-7.91,-1.03,0.014,0.012,y,9/11/2011,2011,No Excuse,,73,185.42,150-199,141,176.25,79.95,M,2,Y,Y,Whole,Whole,0.1202,0.1208,1.619,0.4389,1.718,0.4282,L
245-2011,-7.77,-0.96,0.036,0.032,y,7/15/2011,2011,Elizabeth Ames,"Ogunquit, ME",73,185.42,150-199,181,226.25,102.63,F,1,N,Y,NA,Whole,NA,0.1091,NA,NA,1.707,0.4094,R
233-2011,-7.76,-0.86,0.012,0.032,y,6/30/2011,2011,Scotia Girl,,73,185.42,150-199,147,183.75,83.35,F,2,Y,Y,Whole,Broken tip (piece included),0.1033,0.1,1.563,0.3934,NA,0.3907,R
20-2011,-7.75,-1.15,0.017,0.024,y,6/20/2011,2011,Merlin,,73,185.42,150-199,166,207.5,94.12,F,2,Y,Y,Whole,Whole,0.0908,0.091,1.425,0.39,1.46,0.39,R
161-2011,-7.72,-1.26,0.011,0.053,y,8/18/2011,2011,Macissa Ray,,73,185.42,150-199,160,200,90.72,M,2,Y,Y,Broken tip,Whole,NA,0.0889,NA,0.4308,1.488,0.4228,L
62-2011,-7.6,-0.99,0.02,0.033,y,7/8/2011,2011,Merlin,,73,185.42,150-199,144,180,81.65,M,2,Y,Y,Whole,Broken tip,0.1213,NA,1.667,0.4041,1.646,0.4094,R
145-2011,-7.58,-0.98,0.013,0.038,y,8/10/2011,2011,Patricia Elaine,,73,185.42,150-199,140,175,79.38,F,1,N,Y,NA,Broken tip,NA,NA,NA,NA,1.619,0.3693,R
Nov-11,-7.51,-1.06,0.021,0.008,y,6/9/2011,2011,,,73,185.42,150-199,190,237.5,107.73,,2,Y,Y,Broken tip (piece included),Whole,0.1557,0.1557,NA,0.4576,1.825,0.4951,L
208-2011,-7.46,-1.12,0.013,0.069,y,6/16/2011,2011,Lily,,73,185.42,150-199,149,186.25,84.48,F,2,Y,Y,Whole,Broken tip (piece included),0.1171,0.1165,1.707,0.4362,NA,0.4603,R
616-2011,-7.35,-1.09,0.017,0.017,y,9/10/2011,2011,Jamie Girl,,73,185.42,150-199,190,237.5,107.73,M,2,Y,Y,Broken tip,Whole,NA,0.0945,NA,0.4121,1.63,0.3934,L
207-2011,-6.84,-1.18,0.035,0.029,y,6/16/2011,2011,Lily,,73,185.42,150-199,161,201.25,91.29,F,2,Y,Y,Broken tip,Broken tip,NA,NA,1.533,0.3854,1.517,0.388,R
127-2011,-8.17,-1.02,0.004,0.03,y,7/31/2011,2011,Sooner or later,,74,187.96,150-199,169,211.25,95.82,F,2,Y,Y,Broken tip (piece included),Whole,NA,0.108,NA,0.4549,1.568,0.4469,R
247-2011,-8.02,-1.27,0.02,0.067,y,7/15/2011,2011,Lily,,74,187.96,150-199,155,193.75,87.89,M,2,Y,Y,Whole,Whole,0.108,0.1095,1.624,0.3773,1.686,0.3907,L
Feb-11,-7.93,-1.21,0.013,0.037,y,7-Jun-11,2011,,Perkins Cove,74,187.96,150-199,166,207.5,94.12,,2,Y,Y,Whole,Whole,0.133,0.1277,1.576,0.442,1.64,0.452,L
421-2011,-7.9,-1.16,0.029,0.011,y,6/27/2011,2011,,,74,187.96,150-199,,208,94.35,M,2,Y,Y,Whole,Broken tip (piece included),0.141,0.1523,1.718,0.4442,NA,0.479,L
222-2011,-7.72,-0.97,0.031,0.035,y,6/21/2011,2011,Lily,,74,187.96,150-199,170,212.5,96.39,M,2,Y,Y,Whole,Whole,0.121,0.124,1.488,0.4442,1.552,0.4656,L
211-2011,-7.66,-1.1,0.014,0.072,y,6/17/2011,2011,Lily,,74,187.96,150-199,169,211.25,95.82,M,1,Y,N,Broken tip,NA,0.1091,NA,NA,0.4121,NA,NA,L
27-2011,-7.58,-1.04,0.024,0.022,y,6/20/2011,2011,Sticker Shock,,74,187.96,150-199,180,225,102.06,M,2,Y,Y,Broken tip (piece included),Whole,0.1092,0.112,NA,0.4228,1.675,0.4255,R
200-2011,-7.44,-1.04,0.039,0.042,y,9/5/2011,2011,Sandi Lynn,,74,187.96,150-199,158,197.5,89.59,F,2,Y,Y,Whole,Whole,0.1562,0.153,1.712,0.4603,1.772,0.4496,R
253-2011,-7.37,-1.16,0.004,0.044,y,7/31/2011,2011,Lily,,74,187.96,150-199,170,212.5,96.39,F,2,Y,Y,Whole,Whole,0.0999,0.099,1.547,0.4121,1.563,0.4121,R
618-2011,-7.33,-0.79,0.024,0.045,y,9/10/2011,2011,North Wind,,74,187.96,150-199,171,213.75,96.96,M,2,Y,Y,Whole,Whole,0.0977,0.097,1.456,0.4041,1.485,0.4068,R
470-2011,-7.32,-1.28,0.011,0.019,y,7/7/2011,2011,,,74,187.96,150-199,162,202.5,91.85,F,2,Y,Y,Whole,Broken tip (piece included),0.108,0.1097,NA,0.4603,1.635,0.4496,L
231-2011,-7.02,-0.9,0.064,0.039,y,6/30/2011,2011,Lily,,74,187.96,150-199,156,195,88.45,F,2,Y,Y,Whole,Whole,0.123,0.1227,1.646,0.4603,1.675,0.4469,L
160-2011,-8.21,-1.08,0.047,0.017,y,8/18/2011,2011,Watasin II,,75,190.5,150-199,179,223.75,101.49,M,2,Y,Y,Broken tip,Whole,NA,0.111,NA,0.4416,1.662,0.4469,R
24-2011,-8.07,-1.31,0.015,0.03,y,6/20/2011,2011,Sticker Shock,,75,190.5,150-199,169,211.25,95.82,M,2,Y,Y,Broken tip (piece included),Broken tip (piece included),0.104,0.0996,NA,0.398,NA,0.3953,L
462-2011,-7.96,-0.98,0.044,0.099,y,7/6/2011,2011,,,75,190.5,150-199,170,212.5,96.39,F,1,Y,N,Broken tip,NA,NA,NA,1.536,0.4335,NA,NA,L
601-2011,-7.93,-1.03,0.02,0.029,y,9/5/2011,2011,Sandi Lynn,,75,190.5,150-199,196,245,111.13,M,2,Y,Y,Whole,Whole,0.1115,0.119,1.635,0.4308,1.723,0.4469,R
423-2011,-7.9,-0.91,0.024,0.03,y,6/29/2011,2011,,,75,190.5,150-199,217,271.25,123.04,F,2,Y,Y,Whole,Whole,0.1219,0.126,1.638,0.4576,1.67,0.4603,R
153-2011,-7.89,-1.13,0.012,0.038,y,8/12/2011,2011,Peter Speeches,,75,190.5,150-199,,,,,2,Y,Y,Whole,Whole,0.131,0.1284,1.812,0.4389,1.876,0.4282,L
63-2011,-7.78,-1.15,0.011,0.018,y,7/8/2011,2011,Perkins Cove,15 miles SE of Portland,75,190.5,150-199,,,,F,2,Y,Y,Broken tip,Broken tip (piece included),NA,0.1109,1.592,0.4228,NA,0.3987,R
468-2011,-7.75,-1.02,0.034,0.071,y,7/7/2011,2011,,,75,190.5,150-199,185,231.25,104.9,M,2,Y,Y,Broken tip,Whole,0.126,0.1223,NA,0.4442,1.673,0.4201,L
469-2011,-7.64,-1.81,0.035,0.012,y,7/7/2011,2011,,,75,190.5,150-199,181,226.25,102.63,M,2,Y,Y,Whole,Broken tip (piece included),0.107,0.109,1.587,0.4255,NA,0.4335,L
614-2011,-7.52,-1.33,0.051,0.059,y,9/11/2011,2011,No Name,,75,190.5,150-199,169,211.25,95.82,M,1,N,Y,NA,Whole,NA,0.103,NA,NA,1.557,0.4041,R
478-2011,-7.35,-1.09,0.015,0.055,y,7/19/2011,2011,,Area 5,75,190.5,150-199,172,235,106.6,F,2,Y,Y,Broken tip,Broken tip (piece included),NA,0.1064,NA,0.4148,NA,0.4175,L
419-2011,-7.34,-1.04,0.012,0.039,y,6/27/2011,2011,,,75,190.5,150-199,196,238,107.96,M,2,Y,Y,Whole,Broken tip (piece included),0.116,0.115,1.598,0.4897,NA,0.4763,R
143-2011,-7.27,-1.27,0.01,0.043,y,8/1/2011,2011,Mike P Perkins,,75,190.5,150-199,,,,,2,Y,Y,Broken tip (piece included),Whole,0.13,0.1311,NA,0.4389,1.683,0.4068,L
99-2011,-7.23,-0.96,0.031,0.022,y,7/27/2011,2011,First Light,,75,190.5,150-199,143,178.75,81.08,F,2,Y,Y,Whole,Broken tip,0.116,NA,1.56,0.463,1.563,0.4683,R
427-2011,-7.05,-1.34,0.031,0.024,y,6/30/2011,2011,,,75,190.5,150-199,188,235,106.6,M,2,Y,Y,Whole,Broken tip (piece included),0.1319,0.128,1.761,0.4389,NA,0.4496,R
407-2011,-7.01,-1.03,0.014,0.036,y,6/20/2011,2011,,,75,190.5,150-199,165,206.25,93.56,F,2,Y,Y,Whole,Broken tip,0.1102,NA,1.539,0.4068,NA,0.3934,R
640-2011,-8.52,-1.72,0.014,0.043,y,9/21/2011,2011,Fin Seeker,43°27,76,193.04,150-199,,,,M,1,Y,N,Whole,NA,0.102,NA,1.528,0.4228,NA,NA,L
115-2011,-7.87,-1.26,0.012,0.002,y,7/27/2011,2011,Jamie Girl,,76,193.04,150-199,211,263.75,119.64,,2,Y,Y,Whole,Whole,0.124,0.1247,1.579,0.4603,1.627,0.4897,L
189-2011,-7.86,-1.33,0.016,0.038,y,8/31/2011,2011,Currency,,76,193.04,150-199,154,192.5,87.32,M,2,Y,Y,Broken tip,Whole,NA,0.12,1.643,0.4175,1.723,0.4228,R
137-2011,-7.81,-0.86,0.024,0.032,y,8/3/2011,2011,Pete Speeches,,76,193.04,150-199,,,,,2,Y,Y,Whole,Whole,0.129,0.1261,1.648,0.4603,1.638,0.4228,L
175-2011,-7.78,-1.15,0.026,0.013,y,8/24/2011,2011,Sooner or later,,76,193.04,150-199,216,270,122.47,F,2,Y,Y,Whole,Whole,0.114,0.1066,1.592,0.4041,1.616,0.4068,L
213-2011,-7.73,-1.15,0.011,0.018,y,6/19/2011,2011,Lily,13739; 44052,76,193.04,150-199,171,213.75,96.96,M,2,Y,Y,Broken tip,Whole,NA,0.1013,NA,0.3961,1.659,0.3961,L
615-2011,-7.61,-1.05,0.006,0.048,y,9/10/2011,2011,Sandi Lynn,,76,193.04,150-199,198,247.5,112.27,M,2,Y,Y,Whole,Broken tip,0.1213,NA,1.689,0.4549,NA,0.4576,R
223-2011,-7.56,-0.86,0.014,0.061,y,6/21/2011,2011,Lily,,76,193.04,150-199,166,207.5,94.12,F,2,Y,Y,Whole,Whole,0.114,0.108,1.579,0.4255,1.56,0.4362,L
230-2011,-7.56,-1.12,0.023,0.024,y,6/30/2011,2011,Lily,,76,193.04,150-199,188,235,106.6,M,2,Y,Y,Broken tip,Whole,NA,0.1152,NA,0.4255,1.729,0.4362,L
47-2011,-7.54,-0.99,0.07,0.019,y,6/26/2011,2011,Sooner or later,,76,193.04,150-199,184,230,104.33,M,2,Y,Y,Whole,Whole,0.107,0.106,1.589,0.4142,1.587,0.4222,L
619-2011,-7.46,-0.87,0.022,0.014,y,9/19/2011,2011,Last One Too,,76,193.04,150-199,212,265,120.2,M,2,Y,Y,Broken tip (piece included),Whole,0.115,0.108,NA,0.4201,1.782,0.3854,L
192-2011,-7.37,-1.25,0.029,0.033,y,8/31/2011,2011,No Name,,76,193.04,150-199,166,207.5,94.12,M,2,Y,Y,Whole,Whole,0.116,0.1112,1.731,0.4014,1.721,0.4094,L
157-2011,-7.32,-1.1,0.013,0.036,y,8/18/2011,2011,Dixie Lynn,,76,193.04,150-199,185,231.25,104.9,M,2,Y,Y,Whole,Whole,0.104,0.1077,1.523,0.4175,1.523,0.4496,L
401-2011,-7.28,-0.89,0.022,0.032,y,6/16/2011,2011,,,76,193.04,150-199,177,203,92.08,F,2,Y,Y,Broken tip,Whole,0.1315,0.1318,NA,0.4656,1.814,0.4523,L
498-2011,-7.14,-1.31,0.063,0.076,y,7/31/2011,2011,,Area 5,76,193.04,150-199,,228,103.42,M,2,Y,Y,Whole,Whole,0.1278,0.124,1.739,0.4282,1.745,0.4308,R
440-2011,-6.66,-1.08,0.011,0.013,y,7/5/2011,2011,,,76,193.04,150-199,187,233.75,106.03,M,2,Y,Y,Whole,Broken near protuberance,0.123,NA,1.675,0.4175,NA,0.4683,R
214-2011,-8.07,-0.87,0.015,0.062,y,6/19/2011,2011,Lily,13733; 44059,77,195.58,150-199,180,225,102.06,F,2,Y,Y,Whole,Whole,0.116,0.1135,1.59,0.4228,1.603,0.388,L
639-2011,-8.01,-1.18,0.038,0.087,y,9/21/2011,2011,Fin Seeker,43°27,77,195.58,150-199,,,,M,1,Y,N,Whole,NA,0.1298,NA,1.753,0.4442,NA,NA,L
128-2011,-8.01,-1.18,0.045,0.051,y,8/3/2011,2011,,,77,195.58,150-199,210,262.5,119.07,F,2,Y,Y,Whole,Whole,0.1223,0.119,1.731,0.4094,1.747,0.4282,R
403-2011,-7.97,-0.81,0.033,0.035,y,6/18/2011,2011,,,77,195.58,150-199,183,249,112.95,F,2,Y,Y,Whole,Broken tip,0.1208,NA,1.656,0.4549,NA,0.4335,R
Mar-11,-7.7,-1.24,0.037,0.041,y,7-Jun-11,2011,,Perkins Cove,77,195.58,150-199,,,,,2,Y,Y,Whole,Whole,0.111,0.1106,1.7,0.39,1.705,0.409,L
202-2011,-7.53,-1.13,0.034,0.05,y,6/8/2011,2011,Lily,,77,195.58,150-199,169,211.25,95.82,F,2,Y,Y,Whole,Whole,0.1217,0.124,1.627,0.4549,1.689,0.4683,R
229-2011,-7.44,-0.92,0.027,0.022,y,6/29/2011,2011,Lily,,77,195.58,150-199,174,217.5,98.66,M,2,Y,Y,Whole,Whole,0.1391,0.148,1.731,0.463,1.841,0.4763,R
112-2011,-7.35,-0.9,0.008,0.027,y,7/27/2011,2011,Jamie Girl,,77,195.58,150-199,178,222.5,100.93,,2,Y,Y,Broken tip,Whole,NA,0.1091,1.485,0.4175,1.566,0.4148,L
439-2011,-7.33,-1.1,0.008,0.045,y,7/5/2011,2011,,,77,195.58,150-199,177,221.25,100.36,M,2,Y,Y,Broken tip (piece included),Whole,0.1246,0.125,NA,0.471,1.646,0.4737,R
121-2011,-7.26,-1.02,0.024,0.03,y,7/28/2011,2011,Patricia Elaine,,77,195.58,150-199,203,253.75,115.1,F,2,Y,Y,Broken tip (piece included),Whole,0.1288,0.128,NA,0.4523,1.691,0.4442,R
409-2011,-7.16,-0.96,0.014,0.029,y,6/21/2011,2011,,,77,195.58,150-199,202,239,108.41,F,1,N,Y,NA,Broken tip,NA,NA,NA,NA,1.67,0.4175,R
426-2011,-7.01,-1.13,0.016,0.017,y,6/30/2011,2011,,,77,195.58,150-199,156,195,88.45,M,2,Y,Y,Whole,Broken tip,0.1025,NA,1.469,0.4014,NA,0.4148,R
441-2011,-6.92,-1.09,0.009,0.019,y,7/5/2011,2011,,,77,195.58,150-199,188,235,106.6,F,2,Y,Y,Whole,Whole,0.113,0.116,1.536,0.4496,1.574,0.4416,R
402-2011,-8.18,-0.98,0.009,0.081,y,6/16/2011,2011,,,78,198.12,150-199,185,231.25,104.9,M,2,Y,Y,Whole,Broken tip,0.118,NA,1.56,0.4683,1.683,0.4362,L
118-2011,-7.94,-0.94,0.014,0.045,y,7/27/2011,2011,Perkins Cove,,78,198.12,150-199,,,,,2,Y,Y,Broken tip,Whole,NA,0.1409,NA,0.4656,1.707,4.79,L
609-2011,-7.86,-1.09,0.03,0.058,y,9/10/2011,2011,Kelly Lynn,,78,198.12,150-199,224,280,127.01,M,2,Y,Y,Whole,Whole,0.132,0.1261,1.761,0.4576,1.71,0.4496,L
428-2011,-7.79,-1.22,0.022,0.056,y,6/30/2011,2011,,,78,198.12,150-199,177,221.25,100.36,M,2,Y,Y,Broken tip,Broken tip,NA,NA,NA,0.3934,NA,0.4228,L
463-2011,-7.58,-1.25,0.001,0.007,y,7/6/2011,2011,,,78,198.12,150-199,192,240,108.86,M,2,Y,Y,Broken tip,Whole,NA,0.1393,NA,0.4148,1.651,0.4255,L
436-2011,-7.51,-1.15,0.021,0.011,y,7/1/2011,2011,,,78,198.12,150-199,204,243,110.22,M,2,N,Y,NA,Whole,NA,0.1164,NA,NA,1.662,0.4228,R
123-2011,-7.5,-1.43,0.049,0.094,y,8/2/2011,2011,Perkins Cove,,78,198.12,150-199,,,,,2,Y,Y,Whole,Broken tip,0.1233,NA,1.753,0.4201,1.715,0.4335,R
232-2011,-7.47,-0.96,0.021,0.062,y,6/30/2011,2011,Lily,,78,198.12,150-199,191,238.75,108.3,M,2,Y,Y,Whole,Whole,0.1076,0.106,1.646,0.3934,1.662,0.4014,R
620-2011,-7.42,-1.12,0.011,0.049,y,9/19/2011,2011,Patricia Elaine,,78,198.12,150-199,237,296.25,134.38,M,2,Y,Y,Whole,Whole,0.119,0.1173,1.723,0.3854,1.697,0.3907,L
135-2011,-7.36,-1.14,0.016,0.041,y,8/4/2011,2011,Osprey,,78,198.12,150-199,206,257.5,116.8,F,2,Y,Y,Whole,Whole,0.1252,0.13,1.686,0.4308,1.673,0.4121,R
628-2011,-7.32,-0.97,0.011,0.058,y,9/20/2011,2011,Sandi Lynn,,78,198.12,150-199,228,285,129.28,F,2,Y,Y,Broken tip,Whole,NA,0.1366,1.619,0.4389,1.673,0.4362,L
237-2011,-7.25,-1.23,0.01,0.043,y,6/30/2011,2011,Christien Ana,,78,198.12,150-199,180,225,102.06,M,2,Y,Y,Broken tip,Broken tip,NA,NA,NA,0.4148,NA,0.4201,R
28-2011,-7.1,-0.88,0.038,0.01,y,6/20/2011,2011,Marina Rose,,78,198.12,150-199,170,212.5,96.39,M,2,Y,Y,Whole,Whole,0.1085,0.107,1.581,0.433,1.638,0.4491,R
254-2011,-7.03,-0.85,0.009,0.011,y,7/31/2011,2011,Lily,,78,198.12,150-199,188,235,106.6,F,2,Y,Y,Whole,Broken tip,0.122,NA,1.64,0.4201,1.576,0.4148,R
201-2011,-6.71,-1.16,0.048,0.024,y,6/8/2011,2011,Lily,,78,198.12,150-199,188,235,106.6,M,2,Y,Y,Whole,Broken tip,0.1672,NA,1.884,0.4549,NA,0.4656,R
633-2011,-8.48,-0.7,0.03,0.033,y,9/24/2011,2011,Jamie Girl,,79,200.66,200-249,182,227.5,103.19,M,2,Y,Y,Broken tip,Whole,NA,0.1097,1.493,0.3934,1.568,0.3854,R
141-2011,-7.88,-1.06,0.03,0.016,y,7/26/2011,2011,Mike P Perkins,,79,200.66,200-249,,,,,2,Y,Y,Whole,Whole,0.122,0.1196,1.699,0.4469,1.694,0.4496,L
119-2011,-7.81,-1.13,0.021,0.011,y,7/28/2011,2011,Mary Joseph,,79,200.66,200-249,207,258.75,117.37,M,2,Y,Y,Whole,Broken tip,0.1225,NA,1.536,0.471,1.523,0.463,R
626-2011,-7.72,-0.93,0.014,0.052,y,9/20/2011,2011,Dixie Lynn,,79,200.66,200-249,211,263.75,119.64,F,2,Y,Y,Broken tip,Broken tip,NA,NA,NA,0.4924,NA,0.4844,L
178-2011,-7.64,-1.04,0.025,0.021,y,8/30/2011,2011,Stella Sea,,79,200.66,200-249,207,258.75,117.37,,2,Y,Y,Whole,Whole,0.13,0.135,1.702,0.4389,1.796,0.4282,L
234-2011,-7.61,-0.95,0.015,0.028,y,6/30/2011,2011,Scotia Girl,,79,200.66,200-249,168,210,95.26,F,2,Y,Y,Whole,Broken tip,0.128,NA,1.536,0.4656,1.525,0.463,L
218-2011,-7.6,-1.03,0.027,0.014,y,6/20/2011,2011,,,79,200.66,200-249,,,,,2,Y,Y,Broken tip (piece included),Broken tip,0.108,NA,NA,0.4523,1.574,0.4282,L
149-2011,-7.58,-1.06,0.021,0.031,y,,2011,Melanie Jean,,79,200.66,200-249,235,293.75,133.25,,2,Y,Y,Broken tip,Broken tip,NA,NA,1.71,0.4469,1.774,0.463,L
181-2011,-7.44,-0.9,0.034,0.028,y,8/30/2011,2011,Dixie Lynn,,79,200.66,200-249,194,242.5,110,F,2,Y,Y,Whole,Whole,0.1044,0.103,1.616,0.4228,1.638,0.4228,R
209-2011,-7.44,-0.79,0.024,0.03,y,6/16/2011,2011,Lily,,79,200.66,200-249,187,233.75,106.03,M,2,Y,Y,Whole,Whole,0.104,0.0994,1.579,0.4068,1.603,0.4068,L
17-2011,-7.34,-1.1,0.045,0.058,y,6/9/2011,2011,,,79,200.66,200-249,,,,,2,Y,Y,Broken tip,Whole,NA,0.1166,1.568,0.4094,1.595,0.4308,L
482-2011,-7.23,-1.01,0.009,0.016,y,7/20/2011,2011,,Area 5,79,200.66,200-249,195,243.75,110.57,F,2,Y,Y,Broken tip,Broken tip (piece included),NA,0.109,NA,0.4201,NA,0.4201,R
625-2011,-7.16,-0.8,0.003,0.054,y,9/19/2011,2011,Sandi Lynn,,79,200.66,200-249,232,290,131.54,M,2,Y,Y,Broken tip (piece included),Whole,0.1341,0.13,NA,0.4469,1.638,0.4255,R
16-2011,-7.04,-0.82,0.025,0.058,y,6/9/2011,2011,,,79,200.66,200-249,,,,,2,Y,Y,Broken tip,Broken tip,NA,NA,NA,0.4255,NA,0.4175,L
114-2011,-6.94,-1.03,0.005,0.008,y,7/27/2011,2011,Dixie Lynn,,79,200.66,200-249,175,218.75,99.23,M,2,Y,Y,Broken tip,Whole,NA,0.111,1.662,0.4175,1.723,0.3934,R
224-2011,-8.21,-1.13,0.011,0.041,y,6/28/2011,2011,Steve Weiner,,80,203.2,200-249,,,,,1,Y,N,Whole,NA,0.127,NA,1.689,0.463,NA,NA,L
167-2011,-7.75,-1.01,0.005,0.017,y,8/22/2011,2011,Patty B,,80,203.2,200-249,236,295,133.81,,2,Y,Y,Whole,Whole,0.1071,0.107,1.528,0.4389,1.595,0.4094,R
194-2011,-7.57,-1.03,0.022,0.024,y,8/16/2011,2011,Pete Speeches,,80,203.2,200-249,,,,,1,N,Y,Whole,Whole,NA,0.1242,NA,NA,1.764,0.4308,R
108-2011,-7.5,-1.2,0.033,0.067,y,7/27/2011,2011,Pauline and Patricia,,80,203.2,200-249,,,,,2,Y,Y,Whole,Whole,0.123,0.1198,1.673,0.479,1.705,0.463,L
138-2011,-7.46,-0.81,0.032,0.022,y,8/3/2011,2011,Pete Speeches,,80,203.2,200-249,,,,,2,Y,Y,Broken tip,Whole,NA,0.1145,1.764,0.3746,1.766,0.3961,L
641-2011,-7.45,-0.52,0.018,0.065,y,9/24/2011,2011,Fin Seeker,43°27,80,203.2,200-249,215,268.75,121.91,F,2,Y,Y,Broken tip,Whole,NA,0.1056,NA,0.4148,1.683,0.4014,L
212-2011,-7.35,-0.99,0.02,0.006,y,6/19/2011,2011,Lily,13570; 44056,80,203.2,200-249,195,243.75,110.57,M,2,Y,Y,Whole,Whole,0.1267,0.125,1.624,0.4683,1.622,0.4683,R
25-2011,-7.19,-0.9,0.035,0.042,y,6/20/2011,2011,Rush,,80,203.2,200-249,208,260,117.94,M,2,Y,Y,Whole,Whole,0.124,0.117,1.562,0.4895,1.6,0.4653,L
34-2011,-7.06,-0.96,0.023,0.061,y,6/21/2011,2011,Julia G,,80,203.2,200-249,188,235,106.6,M,2,Y,Y,Whole,Broken tip,0.1239,NA,1.692,0.4679,NA,0.4491,R
84-2011,-6.94,-1.4,0.022,0.01,y,7/23/2011,2011,Last One Too,,80,203.2,200-249,208,260,117.94,M,2,Y,Y,Whole,Whole,0.1508,0.15,1.806,0.4683,1.822,0.471,R
106-2011,-8.18,-1.31,0.015,0.071,y,7/27/2011,2011,Sarah Beth,,81,205.74,200-249,248,310,140.62,,2,Y,Y,Whole,Whole,0.098,0.0983,1.552,0.388,1.584,0.4014,L
636-2011,-8.07,-1.15,0.034,0.038,y,9/25/2011,2011,Dixie Lynn,,81,205.74,200-249,239,298.75,135.51,M,1,N,Y,NA,Whole,NA,0.1271,NA,NA,1.822,0.4148,R
190-2011,-8.01,-0.95,0.031,0.075,y,8/31/2011,2011,Melanie Jean,,81,205.74,200-249,241,301.25,136.65,,2,Y,Y,Whole,Whole,0.111,0.1072,1.659,0.4201,1.723,0.3987,L
170-2011,-7.87,-0.95,0.002,0.012,y,8/22/2011,2011,Jamie Girl,,81,205.74,200-249,292,365,165.56,M,2,Y,Y,Broken tip (piece included),Whole,0.1228,0.1276,NA,0.4228,1.718,0.4201,L
238-2011,-7.8,-1.11,0.038,0.075,y,6/30/2011,2011,Christien Ana,,81,205.74,200-249,207,258.75,117.37,M,2,Y,Y,Whole,Whole,0.134,0.135,1.628,0.4308,1.656,0.4576,L
140-2011,-7.76,-1.18,0.022,0.037,y,8/3/2011,2011,Pete Speeches,,81,205.74,200-249,,,,,2,Y,Y,Broken tip,Whole,NA,0.115,1.584,0.4121,1.686,0.4308,R
139-2011,-7.75,-0.95,0.003,0.036,y,8/3/2011,2011,Pete Speeches,,81,205.74,200-249,,,,,2,Y,Y,Whole,Whole,0.1163,0.122,1.718,0.4255,1.833,0.4121,R
648-2011,-7.75,-1.09,0.005,0.042,y,9/26/2011,2011,Jamie Girl,,81,205.74,200-249,291,363.75,165,M,2,Y,Y,Whole,Whole,0.1397,0.139,1.595,0.5111,1.646,0.5192,R
142-2011,-7.63,-1.28,0.01,0.047,y,7/20/2011,2011,Mike P Perkins,,81,205.74,200-249,,,,,2,Y,Y,Whole,Broken tip (piece included),0.1055,0.101,1.737,0.401,NA,0.388,R
225-2011,-7.47,-1.07,0.02,0.066,y,6/28/2011,2011,Steve Weiner,,81,205.74,200-249,,,,,2,Y,Y,Broken tip (piece included),Whole,0.12,0.125,NA,0.4763,1.659,0.4442,L
243-2011,-7.31,-0.66,0.016,0.043,y,7/14/2011,2011,North Atlantic Traders,,81,205.74,200-249,219,273.75,124.17,,2,Y,Y,Whole,Whole,0.1165,0.1133,1.673,0.4014,1.758,0.4255,R
46-2011,-7.25,-0.78,0.008,0.036,y,6/29/2011,2011,Merlin,,81,205.74,200-249,240,300,136.08,M,2,Y,Y,Whole,Broken tip,0.1223,NA,1.721,0.4437,NA,0.4841,R
158-2011,-7.21,-0.76,0.006,0.015,y,8/18/2011,2011,Sooner or later,,81,205.74,200-249,204,255,115.67,F,2,Y,Y,Whole,Whole,0.1235,0.122,1.587,0.4121,1.611,0.4148,R
